ItemID,Name,Currently,Buy_Price,First_Bid,Number_Of_Bids,Location,Latitude,Longitude,Country,Started,Ends,UserID,Description
,Dip Ceramic NR,,,,0,,,,,,,,
,Hallmark Ornament MR. POTATO HEAD Top Spud,,,,0,,,,,,,,
,Pepper Shakers,,,,0,,,,,,,,
,AVENGERS' QUASAR SERIES--ISSUES 1-60,,,,0,,,,,,,,
,Baked Apple Candles Home Interior Homco,,,,0,,,,,,,,
,Precious Moments Peace on Earth E9287,,,,0,,,,,,,,
,#187 Gold Key 1968/69,,,,0,,,,,,,,
,STOLICHNAYA RUSSIAN VODKA SHOT GLASS,,,,0,,,,,,,,
,Eames Era Molded TEAK Plywood ICE BUCKET,,,,0,,,,,,,,
,"First Christmas In New Home_Ornament ""1999""",,,,0,,,,,,,,
,Jessie Willcox Smith - Story Time - PLATE,,,,0,,,,,,,,
,Peanuts Magic #4 Ornament--Hallmark,,,,0,,,,,,,,
,Cameo Incoley The Isle of Circes,,,,0,,,,,,,,
,(7) Old Antique Golf Clubs @@NO RESERVE@@,,,,0,,,,,,,,
,Seattle Skyline Limoge Style Trinket Box,,,,0,,,,,,,,
,D-56 DEPT 56 GREAT EXPECTATIONS 'SATIS MANOR',,,,0,,,,,,,,
,Cherished Teddies Jerry Ready To Splash NEW,,,,0,,,,,,,,
,NEW~~SET/6 FRUIT GLASS SWIZZLE/STIR STICKS,,,,0,,,,,,,,
,Avon 1987 Christmas Bell NIB and MORE,,,,0,,,,,,,,
,PEPPER SHAKERS,,,,0,,,,,,,,
,ANTIQUE MCNESS CAN,,,,0,,,,,,,,
,Star Wars: Dark Lords of the Sith (Full Run!),,,,0,,,,,,,,
,Mary Moo Had Farm Holiday Spirit Hen Rooster,,,,0,,,,,,,,
,DISNEY PINOCCHIO COOKIE JAR - NEW- MIB,,,,0,,,,,,,,
,Vintage American Family Scale Kitchen Scale,,,,0,,,,,,,,
,River Group Elvis Dufex card #24/40,,,,0,,,,,,,,
,Gallon milk bottle with plastic handle,,,,0,,,,,,,,
,P,,,,0,,,,,,,,
,DALMATION PORCELAIN BOTTLE STOPPER,,,,0,,,,,,,,
,Enesco PM June Hopechest with birthstone NMIB,,,,0,,,,,,,,
,Enesco Wizard of Oz The Cowardly Lion NEW,,,,0,,,,,,,,
,Dark Green!! Atlas Strong Shoulder Mason,,,,0,,,,,,,,
,HALLMARK COOKIE CUTTER RED SNOWMAN,,,,0,,,,,,,,
,NICK FURY - AGENT OF SHIELD #38 - 41,,,,0,,,,,,,,
,Ritzenhoff Unique German Beer Glass TN7,,,,0,,,,,,,,
,PRECIOUS MOMENTS MUSICAL CHRISTMAS HOUSE N/R!,,,,0,,,,,,,,
,Brass Coaster With Victorian Penny,,,,0,,,,,,,,
,Memories of Yesterday BOO BOO WITH MISTLETOE,,,,0,,,,,,,,
,Dan Dare Deluxe Edition Vol 10 New HB 1st Ed,,,,0,,,,,,,,
,"SCALE,FOOD,POSTAL,ETC /GRAMS/ OUNCES - NEW",,,,0,,,,,,,,
,Armani DISNEY MICKEY SORCERER 30%off NiB NR,,,,0,,,,,,,,
,wire closure,,,,0,,,,,,,,
,D RPG 3E,,,,0,,,,,,,,
,Avon Snuggly Mouse Candle Holder W/ Box 1983,,,,0,,,,,,,,
,"Classics Illustrated, No.162, 1961, (O), F/F-",,,,0,,,,,,,,
,Homco 4 perfect Christmas pieces,,,,0,,,,,,,,
,Frog Knife Rest Qty 1 (Pewter),,,,0,,,,,,,,
,The Cookie Bakery Cookie Jar,,,,0,,,,,,,,
,STAR WARS INFINITIES 3 4 What if,,,,0,,,,,,,,
,Sandy' Plate,,,,0,,,,,,,,
,Tomb of Dracula #15 VF NR :WOW:,,,,0,,,,,,,,
,1982 P.M.- LOVE ONE ANOTHER - HOURGLASS MARK,,,,0,,,,,,,,
,ANTIQUE CLOCK CLOCKS*GILDED BRONZE CARTIER,,,,0,,,,,,,,
,unread Wolverine miniseries #1-3,,,,0,,,,,,,,
,PEP COMICS #272 BRONZE AGE,,,,0,,,,,,,,
,DEPT 56 DICKENS A PARTRIDGE IN A PEAR TREE,,,,0,,,,,,,,
,Buffy Season 1 - A3 - Autograph Card - Willow,,,,0,,,,,,,,
,department 56 ceramic santa claus,,,,0,,,,,,,,
,"Gold Digger #30- Fred Perry, Manga, Furry!",,,,0,,,,,,,,
,Vintage Aluminum Mirro Donut Maker,,,,0,,,,,,,,
,"Dickens Village ""Cottage of Bob Cratchit",,,,0,,,,,,,,
,Bowen Designs Marvel Juggernaut Mini-bust,,,,0,,,,,,,,
,5 BRAND NEW ARCHIE DIGEST COMIC BOOKS NR,,,,0,,,,,,,,
,Summer Eggs (1984),,,,0,,,,,,,,
,CITY - THE DOCTORS OFFICE - 1991- RET. 1994,,,,0,,,,,,,,
,Jerry No 299,,,,0,,,,,,,,
,1981 Hallmark Family Tree Ornament - MINT,,,,0,,,,,,,,
,"Precious Moments Sugar Town ""KATY LYNNE""",,,,0,,,,,,,,
,MARVEL COLLECTORS ITEM CLASSICS 15 NM 9.4 CGC,,,,0,,,,,,,,
,1950s CHEESE/FOOD GRINDER [GLASS BODY] nr,,,,0,,,,,,,,
,Viceroy Cigarette American Airline Pack,,,,0,,,,,,,,
,Precious Moments Caring 1994 Members Only,,,,0,,,,,,,,
,Bottle Opener,,,,0,,,,,,,,
,HALLMARK CAROUSEL HORSE PROMO SET 6 PC,,,,0,,,,,,,,
,ARCHIE COMICS JUGHEADS TIME POLICE LOT,,,,0,,,,,,,,
,1945 CAPTAIN MARVEL ADVENTURES #49 CGC Graded,,,,0,,,,,,,,
,Bessie Pease Gutmann FIRST STEP figurine,,,,0,,,,,,,,
,Pepp,,,,0,,,,,,,,
,Oliver Twist retired 1993,,,,0,,,,,,,,
,Degrazia _86 Flower Girl Goebel Ornament NR,,,,0,,,,,,,,
,EMMETT KELLY JR CLEANING UP DEAF FIGURINE,,,,0,,,,,,,,
,Amber Unembossed Lightning Pint Fruit jar,,,,0,,,,,,,,
,DEPT 56 ALPINE VILLAGE GRISTMILL,,,,0,,,,,,,,
,Dept.56 Santa's Workshop-Brand New!!!,,,,0,,,,,,,,
,Hallmark 1985 Kitty Mischief Ornament,,,,0,,,,,,,,
,DEPT 56 DV - PAR FOR THE COURSE S/3,,,,0,,,,,,,,
,1881 Northern Pacific Railroad ticket-large,,,,0,,,,,,,,
,PRECIOUS MOMENTS~HAPPY BIRTHDAY CUPCAKE BOX,,,,0,,,,,,,,
,Ceramic GRAPES TEAPOT Kitchen Wall Plaque,,,,0,,,,,,,,
,Wooden Frame Rose Terra Cotta Tile Trivet,,,,0,,,,,,,,
,NY GIANTS NFL SCHEDULE WATCH * NEW *,,,,0,,,,,,,,
,Hilltop Farms Milk Bottle Peckville Pa.,,,,0,,,,,,,,
,R. CRUMB PIONEERS OF COUNTRY MUSIC CARD SET,,,,0,,,,,,,,
,Precious Moments Girl Stove Mini Tea Set,,,,0,,,,,,,,
,Hogmay 88,,,,0,,,,,,,,
,Pepper NR,,,,0,,,,,,,,
,NORMAN ROCKWELL PLATE~MIB~FAMILY'S MEASURE,,,,0,,,,,,,,
,Oriental Tin Decorative Bowl ~ Stunning~,,,,0,,,,,,,,
,Precious Moments 1993 BUNDLES OF JOY,,,,0,,,,,,,,
,Hallmark Ornament Peter Pan and Tinkerbell,,,,0,,,,,,,,
,Hertz Corporation Bond Certificate 1970's,,,,0,,,,,,,,
,BEAUTIFUL APPLE BASKET COOKIE JAR JARS NEW,,,,0,,,,,,,,
,Precious Moments E-5637 The Heavenly Light,,,,0,,,,,,,,
,*Mary's Moo MNew* dairy queen tasty treats,,,,0,,,,,,,,
,"LOIS LANE #134 VF/NM SUPER LOIS, KANDOR",,,,0,,,,,,,,
,Wolverine Mini Statue by Bowen Designs,,,,0,,,,,,,,
,FANTASTIC OLD 10'X13'PERSIAN ISFAHAN RUG-LLR!,,,,0,,,,,,,,
,WINDRIDER ~ Chuck Ren ~ Indian Warriors PLATE,,,,0,,,,,,,,
,Hallmark Classic American Car 1966 Mustang,,,,0,,,,,,,,
,Rollerama Roller Skaters Accessory Set of 2,,,,0,,,,,,,,
,Nice old Quilt Hand Stitched Hand Quilted,,,,0,,,,,,,,
,GORGEOUS FROSTED AMBER DECANTER + 6 GLASSES!!,,,,0,,,,,,,,
,HANDCRAFTED PATCHWORK~SAHARA STAR QUILT~F/Q,,,,0,,,,,,,,
,1955 Churchill Queen Elizabath Nehru photo,,,,0,,,,,,,,
,* PARK BENCHS (2) * Dept 56 Snow Village,,,,0,,,,,,,,
,1 HOLIDAY COOKIE JAR HOUSE snowman,,,,0,,,,,,,,
,Vintage Metal Christmas Cookie Cutter(4),,,,0,,,,,,,,
,Precious Moments Figurine ~ Perfect Day,,,,0,,,,,,,,
,STARWARS NUMBER 6 1977 MARVEL COMICS F/G,,,,0,,,,,,,,
,Pretty As A Picture - -Ltd Edition Nativity,,,,0,,,,,,,,
,Ritzenhoff Unique German Beer Glass TN2,,,,0,,,,,,,,
,X-MEN #164.1983.FIRST APP.BINARY! NEAR MINT +,,,,0,,,,,,,,
,GREEN MOUNTAIN: MISTER MIRACLE #7 VGF KIRBY,,,,0,,,,,,,,
,GRONDAHL CHRISTMAS IN AMERICA PLATE 91,,,,0,,,,,,,,
,HARMONY KINGDOM: Y2HK MILLENNIUM#TJSEY2K-RTD.,,,,0,,,,,,,,
,GREEN MOUNTAIN: ASTONISHING TALES #19 FVF,,,,0,,,,,,,,
,1876 Series Cape Cod Sugar Bowl,,,,0,,,,,,,,
,MIX N STORE PLUS PITCHER PLUS BONUS !!!!!!,,,,0,,,,,,,,
,THE RINGMASTER - CIRCUS SERIES NR CC 50%OFF,,,,0,,,,,,,,
,Dept 56~*~Monopoly~*~ORIENTAL AVENUE~*~NR,,,,0,,,,,,,,
,"""ONE TEAR AT A TIME"" Video - Brand New!!",,,,0,,,,,,,,
,DESTROYER DUCK #1,,,,0,,,,,,,,
,Silverplated Renaissance design egg cup,,,,0,,,,,,,,
,Avon Ruby Red Cape Cod 2 Cordial Stems,,,,0,,,,,,,,
,Dept. 56 Farmer's Market N Eng Village NIB,,,,0,,,,,,,,
