ItemID,Name,Currently,Buy_Price,First_Bid,Number_Of_Bids,Location,Latitude,Longitude,Country,Started,Ends,UserID,Description
,Longaberger Ret APRON Traditional Holly MINT,,,,0,,,,,,,,
,"PRETTY AS A PICTURE, LIFE'S BEST GIFTS",,,,0,,,,,,,,
,Pepsi bottle salt and pepper shakers,,,,0,,,,,,,,
,LUCY AND ME BEARS HOLDING PICTURE FRAME - MIB,,,,0,,,,,,,,
,Limoges Peaceable Kingdom Animal Plate,,,,0,,,,,,,,
,Carved Wood German Bottle Cork Wine Stopper,,,,0,,,,,,,,
,1967 March Boris Karloff #17 March Gold Key,,,,0,,,,,,,,
,Firefighter Helmet USA Flag Sticker,,,,0,,,,,,,,
,ANRI Ferrandiz Ornament SET of FOUR MINT!,,,,0,,,,,,,,
,DEPT 56 HV - FARM ANIMALS S/8,,,,0,,,,,,,,
,"Patsy Walker #46 (Golden Age, Atlas, Good)",,,,0,,,,,,,,
,Swarovski 1997 Christmas Ornament,,,,0,,,,,,,,
,Wonderful Life/By Light of Moon/Plate #3,,,,0,,,,,,,,
,Hood's 1/2 Pint Square Store Milk Bottle,,,,0,,,,,,,,
,BRADFORD EXCHANGE AN ANGEL'S AFFECTION PLATE,,,,0,,,,,,,,
,Lefton Polar Bear Pals Figurine MINT SO CUTE,,,,0,,,,,,,,
,VINTAGE HOMCO CLOWNS-2,,,,0,,,,,,,,
,"""OVERNIGHT DELIVERY"" GOLD* Snowbabies*Dept 56",,,,0,,,,,,,,
,1970's Large Plastic Santa Cookie Jar,,,,0,,,,,,,,
,DEPT 56 ALPINE VILLAGE THE TOY PEDDLER retire,,,,0,,,,,,,,
,BATMAN!!! LARGE LOT OF BATMAN COMICS!,,,,0,,,,,,,,
,"Pair Vintage Drapes, Floral Faille Roses!!!",,,,0,,,,,,,,
,FREARM #1 MALIBU COMICS COMIC BOOK NR,,,,0,,,,,,,,
,Sword Of Sorcery #3 (1973) Kaluta / Chaykin,,,,0,,,,,,,,
,GROOM Celebration Plate,,,,0,,,,,,,,
,WRIGHTMAN CHECKS- REVENUE,,,,0,,,,,,,,
,PERFUME ATOMIZER,,,,0,,,,,,,,
,Cat's Meow HISTORICAL MUSEUM PINE,,,,0,,,,,,,,
,DEPT 56 NP - SLEIGH AND TINY REINDEER S/5,,,,0,,,,,,,,
,Precious Moments Enesco Holiday Ornament nib,,,,0,,,,,,,,
,Maud Earl's Beagle Print,,,,0,,,,,,,,
,FDNY NEW YORK CITY FIRE DEPT RESCUE 1 SHIRT S,,,,0,,,,,,,,
,1965 Jerry Lewis #90 October DC Comic,,,,0,,,,,,,,
,Art Deco Farber Bros Krome Kraft-2 Dishes,,,,0,,,,,,,,
,CHARMING TAILS - BINKEY'S SAND ANGEL- MIB,,,,0,,,,,,,,
,CHRISTOPHER RADKO Trim A Tree O PIN 2 for1!!!,,,,0,,,,,,,,
,"DUNCAN ROYALE WASSAIL 12"" FIGURE, MINT W/BOX!",,,,0,,,,,,,,
,HALMARK ORNAMENT SIXTH KIDDIE CAR CLASSICS,,,,0,,,,,,,,
,Collecting Software for Platinum Age Comics,,,,0,,,,,,,,
,SIRIUS DRAMA - LINSNER 1ST PRINT,,,,0,,,,,,,,
,Dreamsicles: Rainbow Rider? - Large - No Box,,,,0,,,,,,,,
,CHAMPIONS # 6 MARVEL RAMPAGE STRIKES PART 2!!,,,,0,,,,,,,,
,Goebel Christmas Morning $250srp Looney Tunes,,,,0,,,,,,,,
,Pups #6454 Ret.,,,,0,,,,,,,,
,NORTH POLE SANTA S BELL REPAIR,,,,0,,,,,,,,
,Old Wooden Corkscrew #35,,,,0,,,,,,,,
,RETRO KITCHEN: SEARS CHROME BEEHIVE BLENDER,,,,0,,,,,,,,
,2 DREAMSICLES 10679 AND 10272 NO RESERVE,,,,0,,,,,,,,
,Interesting *Vintage* Atomizer *OLD*,,,,0,,,,,,,,
,CUTE TEA SHOP HOUSE SHAPED TEAPOT TEA POT MIP,,,,0,,,,,,,,
,Old Metal 4 Pc Canister Set w/Old Pictures !!,,,,0,,,,,,,,
,2 Precious Moments Fan Pulls ! CUTE!!,,,,0,,,,,,,,
,MINNESOTA VIKINGS NIKE KNIT WINTER HAT *NEW*,,,,0,,,,,,,,
,Pair Chef Pie Birds 1 Black And 1 White CUTE,,,,0,,,,,,,,
,Early Square Decanter - Open Pontil - Stopper,,,,0,,,,,,,,
,Kull #1 (1971) REH / Wood,,,,0,,,,,,,,
,"Bottle Opener ""White Rock""",,,,0,,,,,,,,
,"Cherished Teddies Angela,3rd angel in series",,,,0,,,,,,,,
,"Precious Moments Calendar Girl ""December""",,,,0,,,,,,,,
,Precious Moments Star Morning Enesco Box Mint,,,,0,,,,,,,,
,50's Salt and Pepper Set Red tops,,,,0,,,,,,,,
,"""Christmas Cook-Out"" 2nd In A Nutshell series",,,,0,,,,,,,,
,"Original Star Wars Painted artwork, 1ofa kind",,,,0,,,,,,,,
,Longaberger 1996 Bee LINER and TIE-ON Set,,,,0,,,,,,,,
,1993 Hallmark Cool Santa (Coca Cola) - Club,,,,0,,,,,,,,
,PRECIOUS MOMENTS-May Your Christmas Bang 2001,,,,0,,,,,,,,
,"NEVADA ghost town bottle digging book, 1961",,,,0,,,,,,,,
,SILVER 1972 ROAD WINTER CHRISTMAS,,,,0,,,,,,,,
,10 Issues 2000AD #'s 591-600 Judge Dredd NM,,,,0,,,,,,,,
,2000 BUSY BEE SHOPPER - EXTREMELY CUTE - LQQK,,,,0,,,,,,,,
,3 Precious Moments Collectibles. #32,,,,0,,,,,,,,
,ALUMINUM - SAUCY MELTER w/ ORIGINAL BOX,,,,0,,,,,,,,
,thor 128 - 140 jack kirby art all VGFN BV$135,,,,0,,,,,,,,
,Sunbeam Electric Iron ( P.Date Dec 22 1925),,,,0,,,,,,,,
,Precious Moments Sugar Town Train Station Lit,,,,0,,,,,,,,
,SUGAR BOWL RAINBOW COLORS,,,,0,,,,,,,,
,SV Kids Love Hershey's!,,,,0,,,,,,,,
,VENOMtheMADNESS#1-3.MINT.FREE US SHIP'G.BONUS,,,,0,,,,,,,,
,XENA Season 6 TRADING CARD SET **NEW**,,,,0,,,,,,,,
,Seven 19th Century Inks,,,,0,,,,,,,,
,TRAVEL BAG~ LEATHER~ WITH ALOT OF POCKETS,,,,0,,,,,,,,
,"AVENGERS #61 Vision, Black Panther, Wasp 1969",,,,0,,,,,,,,
,"UNEXPECTED #133,1972,cgc,9.0,owtwp",,,,0,,,,,,,,
,Norman Rockwell 1979 Ornament,,,,0,,,,,,,,
,"LEFTON ""THOMAS POINT"" LIGHTHOUSE",,,,0,,,,,,,,
,"Beautiful Vintage Wallpaper, LEAF/ STRIPE",,,,0,,,,,,,,
,Starter Yankees Jacket,,,,0,,,,,,,,
,Avon 1993 Our First Christmas Ornament,,,,0,,,,,,,,
,'99 1949 Cadillac Coupe deVille BIN $9.99,,,,0,,,,,,,,
,"New Thomas Kinkade Journal ""End of a Perfect",,,,0,,,,,,,,
,PM BOY AND GIRL EXCLUSIVE EVENT PIECE LE,,,,0,,,,,,,,
,Lefton Colonial Village Church #06351,,,,0,,,,,,,,
,Hummel figurine girl w/ Favorite pet MINT,,,,0,,,,,,,,
,Precious Moments January 261203 NIB,,,,0,,,,,,,,
,Beatrix Potter Tailor of Gloucester Shakers,,,,0,,,,,,,,
,Lot of Eight Franklin Mint Plate Holders - NR,,,,0,,,,,,,,
,Snow Village SNOWY HILLS HOSPITAL,,,,0,,,,,,,,
,"Civil War""MONITOR ON JAMES RIVER"" 1912 Print*",,,,0,,,,,,,,
,RARE Tupperware Black Rock N Serve Round 3,,,,0,,,,,,,,
,Harbour Lights - Tybee Island Georgia #423,,,,0,,,,,,,,
,SPACE PATROL TRADING CARD-SOLAR DISINTEGRATOR,,,,0,,,,,,,,
,LLADRO #7644: INNOCENCE in BLOOM (mint in box,,,,0,,,,,,,,
,AMAZING SPIDER-MAN 66 Good,,,,0,,,,,,,,
,1944 pinup girls tatoos original display,,,,0,,,,,,,,
,ANGEL COOKIE JARS/JAR (DEVINE),,,,0,,,,,,,,
,"ME AS ""HARPO MARX""",,,,0,,,,,,,,
,Precious Moments Fig-ANGEL OF MERCY- NURSE,,,,0,,,,,,,,
,"ROY ROGERS COMICS # 76 1954 ""10 Cents""",,,,0,,,,,,,,
,BRAND NEW 2001 GREEN MARGUERITE,,,,0,,,,,,,,
,1988 Minature Beaded Garland Gold NRFB,,,,0,,,,,,,,
,Fitz Floyd Pumpkin Eggplant Salt Pepper,,,,0,,,,,,,,
,Stone Print Play Billboard - Robinson Crusoe,,,,0,,,,,,,,
,Avon Volkwagon windjammer after shave,,,,0,,,,,,,,
,Longaberger (2) Holly Mugs - Brand New,,,,0,,,,,,,,
,PRECIOUS MOMENTS PORCELAIN CROSS-Enesco,,,,0,,,,,,,,
,"Buick street sign,Great gift idea!",,,,0,,,,,,,,
,CREEPY #2 DAVIS FRAZETTA WILLIAMSON more! FN,,,,0,,,,,,,,
,DAVIS EMBOSSED OPEN PONTIL MEDICINE BOTTLE,,,,0,,,,,,,,
,Dept 56 Eleven Lords a Leaping NEW IN BOX,,,,0,,,,,,,,
,Dept 56~Tending the New Calves-set/3 Retired!,,,,0,,,,,,,,
,CVS MISFIT SAM THE SNOWMAN ENESCO ORNAMENT,,,,0,,,,,,,,
,M.A.R.S. PATROL TOTAL WAR COMIC #4 1967 NR,,,,0,,,,,,,,
,Mary Moo Moo - Cute DENTIST Cow,,,,0,,,,,,,,
,INDEPENDENDENCE HALL XMAS IN CITY DEPT 56,,,,0,,,,,,,,
,christopher radko | fritz n_ frosty sledding,,,,0,,,,,,,,
,IRON-ON FUSIBLE PELLON INTERFACING! WHOLESALE,,,,0,,,,,,,,
,HALLMARK SWISS CHEESE ORNAMENT 1984,,,,0,,,,,,,,
,Josef Originals! Top condition! Beautiful!,,,,0,,,,,,,,
,"HALLMARK Peanuts ""A SNOOPY CHRISTMAS"" SET",,,,0,,,,,,,,
,Hallmark TIN Mail Truck Series,,,,0,,,,,,,,
,Dept 56 Snow Village Jacks Corner Barber Shop,,,,0,,,,,,,,
,PEPPER SET,,,,0,,,,,,,,
,Lilyette Mini Lacy Bra Slip 36-37C,,,,0,,,,,,,,
,SV 'Early Morning Delivery' NIB N/R,,,,0,,,,,,,,
,Ultimate Spider-Man 1-7! TPB. MINT!,,,,0,,,,,,,,
,DEPT 56 HERITAGE SANTA MRS CLAUS NR MIB,,,,0,,,,,,,,
,Superman's Pal Jimmy Olsen #60 VG,,,,0,,,,,,,,
,Shall I Play For You,,,,0,,,,,,,,
,1999 HALLMARK *MUHAMMAD ALI* KEEPSAKE,,,,0,,,,,,,,
,AVON PLATE 1995 CHRISTMAS TRIMMING THE TREE,,,,0,,,,,,,,
,"BOOK: Longaberger, An American Tradition NICE",,,,0,,,,,,,,
,5 DENNIS THE MENACE MARVEL COMICS,,,,0,,,,,,,,
,Gooseberry Patch Measuring Spoons~Pinch~Dash~,,,,0,,,,,,,,
,Mary Engelbreit Queen Sign,,,,0,,,,,,,,
,1988 1989 Hallmark Polar Bowler AWESOME,,,,0,,,,,,,,
,Police Action #3 (1975) Mike Ploog,,,,0,,,,,,,,
,Awesome Apple Napkin Rings new in box,,,,0,,,,,,,,
,VINTAGE GREEK KEY DECO LINEN TABLECLOTH N/R!!,,,,0,,,,,,,,
